"abb","plain"
"atm","at the moment"
"emo","emotional"
"h8","hate"
"dmg","damage"
"np","no problem"
"def","definitely"
"lil","litlle"
"rly","really"
"lst","last"
"okay","ok"
"sux","sucks"
"suxs","sucks"
"they're","they are"
"theyre","they are"
"tho","though"
"ug","ugly"
"sis","sister"
"bro","brother"
"weatha","weather"
"arsed","bothered"
"totes","totally"
"w00t","yay"
"aftn","afternoon"
"thru","through"
"every1","everyone"
"we're","we are"
"it's","it is"
"i've","i have"
"ive","i have"
"how's","how is"
"here's","here is"
"heres","here is"
"havent","have not"
"haven't","have not"
"who's","who is"
"what's","what is"
"weren't","were not"
"aren't","are not"
"arent","are not"
"&lt;","<"
"&gt;",">"
"wanna","want to"
"fuk","fuck"
"fk","fuck"
"dat","that"
"betta","better"
"dis","this"
"wud","would"
"wid","with"
"shud","should"
"hv","have"
"wudnt","would not"
"jus","just"
"jst","just"
"wrk","work"
"ya","you"
"wen","when"
"a/c","air conditioning"
"ac","air conditioning"
"fri","friday"
"sat","saturday"
"hrs","hours"
"hr","hour"
"w/e","weekend"
"wk","week"
"nvr","never"
"neva","never"
"y'all","you all"
"nws","news"
"&","and"
"fukn","fucking"
"apt","apartment"
"hous","house"
"sno","snow"
"dwn","down"
"beatiful","beautiful"
"beautifull","beautiful"
"livin","living"
"livin'","living"
"leavin","leaving"
"lookin","looking"
"lookin'","looking"
"rainin","raining"
"rainin'","raining"
"snowin","snowing"
"movin","moving"
"movin'","moving"
"lovin","loving"
"lovin'","loving"
"hatin","hating"
"hatin'","hating"
"missin","missing"
"stayin'","staying"
"stayin","staying"
"freezin","freezing"
"freezin'","freezing"
"enjoyin","enjoying"
"enjoyin'","enjoying"
"njoyin","enjoying"
"shinin","shining"
"shinin'","shining"
"wakin","waking"
"talkin","talking"
"talkin'","talking"
"cryin","crying"
"cryin'","crying"
"hidin","hiding"
"runnin","running"
"runnin'","running"
"playin","playing"
"playin'","playing"
"floodin","flooding"
"nothin","nothing"
"nothin'","nothing"
"hopin","hoping"
"hopin'","hoping"
"chillin","chilling"
"chillin'","chilling"
"heatin","heating"
"walkin","walking"
"walkin'","walking"
"lyin","lying"
"layin","laying"
"watchin","watching"
"watchin'","watching"
"drinkin","drinking"
"drinkin'","drinking"
"sittin","sitting"
"makin'","making"
"makin","making"
"seein","seeing"
"somethin","something"
"somethin'","something"
"thinkin","thinking"
"comin","coming"
"comin'","coming"
"feelin","feeling"
"feelin'","feeling"
"keepin","keeping"
"pourin","pouring"
"pourin'","pouring"
"bein","being"
"bein'","being"
"sleepin","sleeping"
"sleepin'","sleeping"
"likin","liking"
"workin","working"
"workin'","working"
"blowin","blowing"
"blowin'","blowing"
"turnin","turning"
"anythin","anything"
"flyin","flying"
"flyin'","flying"
"stoppin","stopping"
"annoyin","annoying"
"sayin","saying"
"sayin'","saying"
"fallin","falling"
"fallin'","falling"
"changin","changing"
"gettin","getting"
"gettin'","getting"
"wantin","wanting"
"mornin","morning"
"mornin'","morning"
"deg","degrees"
"degs","degrees"
